主播ID,主播等级,是否化妆,化妆开始时间,直播开始时间,直播结束时间,直播间编号,预估当日收益
212,高级,是,11:30,15:00,21:30,60,585.8
213,高级,否,,09:20,15:50,5,384.62
214,高级,否,,09:00,15:30,49,384.62
215,高级,是,10:30,12:50,19:20,69,508.88
216,高级,是,08:00,12:50,19:20,16,508.88
217,高级,否,,17:00,23:30,65,502.96
218,高级,是,07:50,12:20,18:50,28,491.12
219,高级,是,14:50,20:10,02:40,9,526.63
220,高级,否,,08:30,15:00,60,384.62
221,高级,否,,08:40,15:10,26,384.62
222,高级,是,07:00,08:30,15:00,13,461.54
223,高级,是,13:20,18:10,00:40,17,597.63
224,高级,否,,18:20,00:50,13,493.1
225,高级,否,,21:20,03:50,5,404.34
