化妆师,主播编号,化妆开始时间,化妆结束时间,直播开始时间,直播结束时间
化妆师9,主播107,08:20,09:00,14:00,20:30
化妆师9,主播108,09:00,09:40,14:40,21:10
化妆师9,主播109,09:40,10:20,15:20,21:50
化妆师9,主播110,10:20,11:00,16:00,22:30
化妆师9,主播111,11:00,11:40,16:40,23:10
化妆师9,主播112,11:40,12:20,17:20,23:50
化妆师9,主播113,12:20,13:00,18:00,00:30
化妆师9,主播114,13:00,13:40,18:10,00:40
化妆师9,主播115,13:40,14:20,18:10,00:40
化妆师9,主播116,14:20,15:00,18:10,00:40
化妆师9,主播117,15:00,15:40,18:10,00:40
化妆师10,主播118,07:00,07:40,12:40,19:10
化妆师10,主播119,07:40,08:20,13:20,19:50
化妆师10,主播120,08:20,09:00,14:00,20:30
化妆师10,主播121,09:00,09:40,14:40,21:10
